,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
0,"English,Italian,Latin,Spanish,German",English,Italian,Latin,Spanish,German,,
1,"Hindi,English",Hindi,English,,,,,
2,English,English,,,,,,
3,"Hindi,English",Hindi,English,,,,,
4,English,English,,,,,,
5,English,English,,,,,,
6,English,English,,,,,,
7,"English,Korean,Spanish",English,Korean,Spanish,,,,
8,"English,French",English,French,,,,,
9,"English,Latin,French",English,Latin,French,,,,
10,Hindi,Hindi,,,,,,
11,"English,East-Greenlandic",English,East-Greenlandic,,,,,
12,English,English,,,,,,
13,English,English,,,,,,
14,"Hindi,English",Hindi,English,,,,,
15,English,English,,,,,,
16,English,English,,,,,,
17,"English,French,Swahili",English,French,Swahili,,,,
18,"Hindi,English",Hindi,English,,,,,
19,Hindi,Hindi,,,,,,
20,"English,French,Latin",English,French,Latin,,,,
21,English,English,,,,,,
22,English,English,,,,,,
23,"Spanish,German,Russian,French,Italian,Polish,English",Spanish,German,Russian,French,Italian,Polish,English
24,"English,Cantonese",English,Cantonese,,,,,
25,"Ukrainian,Russian,English",Ukrainian,Russian,English,,,,
26,"English,Spanish",English,Spanish,,,,,
27,French,French,,,,,,
28,"English,German,French,Italian",English,German,French,Italian,,,
29,"Spanish,English,Mandarin,French,Hindi",Spanish,English,Mandarin,French,Hindi,,
30,"Arabic,Nyanja,English",Arabic,Nyanja,English,,,,
31,English,English,,,,,,
32,English,English,,,,,,
33,English,English,,,,,,
34,English,English,,,,,,
35,Hungarian,Hungarian,,,,,,
36,"English,German",English,German,,,,,
37,English,English,,,,,,
38,"French,English",French,English,,,,,
39,English,English,,,,,,
40,Hindi,Hindi,,,,,,
41,English,English,,,,,,
42,English,English,,,,,,
43,"English,Hindi,Bangla",English,Hindi,Bangla,,,,
44,English,English,,,,,,
45,"Hindi,English",Hindi,English,,,,,
46,"English,Dinka",English,Dinka,,,,,
47,Tamil,Tamil,,,,,,
48,"English,German,French",English,German,French,,,,
49,English,English,,,,,,
50,"Indonesian,English,Mandarin,French",Indonesian,English,Mandarin,French,,,
51,"English,German,Hebrew,Spanish",English,German,Hebrew,Spanish,,,
52,Hindi,Hindi,,,,,,
53,"English,Mandarin",English,Mandarin,,,,,
54,English,English,,,,,,
55,"English,German,Russian",English,German,Russian,,,,
56,"Hindi,English",Hindi,English,,,,,
57,Spanish,Spanish,,,,,,
58,English,English,,,,,,
59,English,English,,,,,,
60,English,English,,,,,,
61,English,English,,,,,,
62,"Arabic,English",Arabic,English,,,,,
63,"English,Korean",English,Korean,,,,,
64,"Italian,English",Italian,English,,,,,
65,English,English,,,,,,
66,"Hindi,English",Hindi,English,,,,,
67,Spanish,Spanish,,,,,,
68,English,English,,,,,,
69,English,English,,,,,,
70,"English,Serbian,German,Italian,French",English,Serbian,German,Italian,French,,
71,"English,Spanish,French",English,Spanish,French,,,,
72,"English,German,Italian,French,Spanish",English,German,Italian,French,Spanish,,
73,"English,Spanish,French",English,Spanish,French,,,,
74,"English,Icelandic,Portuguese",English,Icelandic,Portuguese,,,,
75,Hindi,Hindi,,,,,,
76,"English,Mandarin",English,Mandarin,,,,,
77,English,English,,,,,,
78,"English,American Sign Language",English,American Sign Language,,,,,
79,"English,Irish",English,Irish,,,,,
80,"English,French",English,French,,,,,
81,"English,Spanish,French,Romanian",English,Spanish,French,Romanian,,,
82,"English,French,Latin",English,French,Latin,,,,
83,English,English,,,,,,
84,English,English,,,,,,
85,English,English,,,,,,
86,English,English,,,,,,
87,"English,Chinese",English,Chinese,,,,,
88,"English,French",English,French,,,,,
89,English,English,,,,,,
90,English,English,,,,,,
91,English,English,,,,,,
92,"English,Aboriginal",English,Aboriginal,,,,,
93,"English,Italian",English,Italian,,,,,
94,"English,Spanish",English,Spanish,,,,,
95,"English,Swedish",English,Swedish,,,,,
96,"Polish,English",Polish,English,,,,,
97,"Portuguese,English",Portuguese,English,,,,,
98,"English,Norwegian",English,Norwegian,,,,,
99,English,English,,,,,,
100,English,English,,,,,,
101,Spanish,Spanish,,,,,,
102,English,English,,,,,,
103,"English,Latin",English,Latin,,,,,
104,"English,Spanish",English,Spanish,,,,,
105,English,English,,,,,,
106,English,English,,,,,,
107,"English,Korean",English,Korean,,,,,
108,English,English,,,,,,
109,English,English,,,,,,
110,Spanish,Spanish,,,,,,
111,"English,Cantonese,Spanish",English,Cantonese,Spanish,,,,
112,English,English,,,,,,
113,"English,French",English,French,,,,,
114,English,English,,,,,,
115,"Italian,Spanish,Hebrew,Romanian",Italian,Spanish,Hebrew,Romanian,,,
116,"English,Bulgarian,Spanish,Russian,Mandarin,German,French",English,Bulgarian,Spanish,Russian,Mandarin,German,French
117,English,English,,,,,,
118,English,English,,,,,,
119,"English,Latin",English,Latin,,,,,
120,Dutch,Dutch,,,,,,
121,English,English,,,,,,
122,Spanish,Spanish,,,,,,
123,"Spanish,Quechua,English",Spanish,Quechua,English,,,,
124,"English,Portuguese,French",English,Portuguese,French,,,,
125,Mandarin,Mandarin,,,,,,
126,English,English,,,,,,
127,"Hindi,English",Hindi,English,,,,,
128,"English,Esperanto,German,Chinese",English,Esperanto,German,Chinese,,,
129,English,English,,,,,,
130,"English,Irish,French,Spanish",English,Irish,French,Spanish,,,
131,English,English,,,,,,
132,English,English,,,,,,
133,Japanese,Japanese,,,,,,
134,"English,Spanish",English,Spanish,,,,,
135,English,English,,,,,,
136,English,English,,,,,,
137,English,English,,,,,,
138,English,English,,,,,,
139,English,English,,,,,,
140,English,English,,,,,,
141,English,English,,,,,,
142,English,English,,,,,,
143,English,English,,,,,,
144,English,English,,,,,,
145,English,English,,,,,,
146,"English,Japanese",English,Japanese,,,,,
147,"English,Sioux,Pawnee",English,Sioux,Pawnee,,,,
148,"Bhojpuri,Punjabi,Hindi",Bhojpuri,Punjabi,Hindi,,,,
149,Hindi,Hindi,,,,,,
150,French,French,,,,,,
151,Hebrew,Hebrew,,,,,,
152,Hindi,Hindi,,,,,,
153,English,English,,,,,,
154,English,English,,,,,,
155,"English,Spanish",English,Spanish,,,,,
156,"English,Hebrew",English,Hebrew,,,,,
157,English,English,,,,,,
158,English,English,,,,,,
159,Hindi,Hindi,,,,,,
160,"English,Mandarin",English,Mandarin,,,,,
161,English,English,,,,,,
162,Georgian,Georgian,,,,,,
163,English,English,,,,,,
164,Hindi,Hindi,,,,,,
165,"Japanese,English",Japanese,English,,,,,
166,English,English,,,,,,
167,English,English,,,,,,
168,English,English,,,,,,
169,English,English,,,,,,
170,"English,French",English,French,,,,,
171,Italian,Italian,,,,,,
172,English,English,,,,,,
173,English,English,,,,,,
174,"English,Thai,Swedish",English,Thai,Swedish,,,,
175,"English,Arabic,Albanian,Romanian",English,Arabic,Albanian,Romanian,,,
176,"Cantonese,Mandarin,Japanese",Cantonese,Mandarin,Japanese,,,,
177,English,English,,,,,,
178,English,English,,,,,,
179,English,English,,,,,,
180,"Hindi,English",Hindi,English,,,,,
181,"Wolof,French,English,Arabic",Wolof,French,English,Arabic,,,
182,"Japanese,Thai",Japanese,Thai,,,,,
183,"English,Spanish",English,Spanish,,,,,
184,English,English,,,,,,
185,English,English,,,,,,
186,English,English,,,,,,
187,"English,Japanese",English,Japanese,,,,,
188,English,English,,,,,,
189,"English,French",English,French,,,,,
190,French,French,,,,,,
191,English,English,,,,,,
192,English,English,,,,,,
193,English,English,,,,,,
194,"Japanese,Japanese Sign Language",Japanese,Japanese Sign Language,,,,,
195,"English,Saami",English,Saami,,,,,
196,"English,American Sign Language,Russian",English,American Sign Language,Russian,,,,
197,,,,,,,,
198,English,English,,,,,,
199,"English,French,Latin,Spanish",English,French,Latin,Spanish,,,
200,English,English,,,,,,
201,"Hindi,English,German",Hindi,English,German,,,,
202,Russian,Russian,,,,,,
203,"English,Ukrainian",English,Ukrainian,,,,,
204,"English,Yiddish",English,Yiddish,,,,,
205,English,English,,,,,,
206,English,English,,,,,,
207,"English,Spanish",English,Spanish,,,,,
208,"English,Hindi,Manipuri,Xhosa",English,Hindi,Manipuri,Xhosa,,,
209,English,English,,,,,,
210,,,,,,,,
211,English,English,,,,,,
212,English,English,,,,,,
213,"English,Arabic,French,Italian",English,Arabic,French,Italian,,,
214,English,English,,,,,,
215,English,English,,,,,,
216,English,English,,,,,,
217,"English,Spanish",English,Spanish,,,,,
218,"English,Spanish,Portuguese",English,Spanish,Portuguese,,,,
219,English,English,,,,,,
220,English,English,,,,,,
221,Basque,Basque,,,,,,
222,English,English,,,,,,
223,"English,Spanish,Italian,French,Swiss German,German",English,Spanish,Italian,French,Swiss German,German,
224,"English,Filipino",English,Filipino,,,,,
225,"English,Romanian",English,Romanian,,,,,
226,English,English,,,,,,
227,English,English,,,,,,
228,English,English,,,,,,
229,English,English,,,,,,
230,English,English,,,,,,
231,English,English,,,,,,
232,Hindi,Hindi,,,,,,
233,English,English,,,,,,
234,English,English,,,,,,
235,Turkish,Turkish,,,,,,
236,Hindi,Hindi,,,,,,
237,English,English,,,,,,
238,"Hindi,English,Marathi,Tamil",Hindi,English,Marathi,Tamil,,,
239,English,English,,,,,,
240,English,English,,,,,,
241,English,English,,,,,,
242,Japanese,Japanese,,,,,,
243,"English,Japanese",English,Japanese,,,,,
244,English,English,,,,,,
245,English,English,,,,,,
246,"Icelandic,English",Icelandic,English,,,,,
247,"English,French",English,French,,,,,
248,"English,Italian,Latin,French,Swiss German,German,Chinese,Spanish,Polish",English,Italian,Latin,French,Swiss German,German,Chinese
249,"Spanish,French,English",Spanish,French,English,,,,
250,"English,Spanish",English,Spanish,,,,,
251,"English,Korean",English,Korean,,,,,
252,"English,French,Latin,Spanish",English,French,Latin,Spanish,,,
253,Hindi,Hindi,,,,,,
