,Genres
0,"Biography,Crime,Drama"
1,"Action,Biography,Drama,Sport"
2,"Documentary,Biography"
3,"Drama,Musical,Sport"
4,"Action,Drama,History,Romance,War"
5,"Comedy,Drama,Romance"
6,"Documentary,Drama"
7,"Action,Adventure,Drama,Sci-Fi"
8,"Comedy,Drama,Musical,Mystery,Romance,Western"
9,"Drama,History,Thriller"
10,"Crime,Drama,Mystery,Thriller"
11,Documentary
12,"Biography,Comedy,Drama"
13,"Drama,War"
14,Drama
15,"Documentary,Crime,Music"
16,"Documentary,Biography,Music"
17,"Documentary,War"
18,"Action,Crime,Drama,History"
19,"Crime,Drama,Mystery,Thriller"
20,"Biography,Drama,History,Romance,War"
21,Comedy
22,"Drama,Mystery,Sci-Fi,Thriller"
23,"Drama,Thriller"
24,"Crime,Drama,Thriller"
25,Documentary
26,"Action,Sci-Fi"
27,"Animation,Drama,Fantasy,Romance"
28,"Drama,Western"
29,"Comedy,Drama,Romance"
30,"Biography,Drama,History"
31,"Crime,Drama,Thriller"
32,"Comedy,Drama"
33,Drama
34,"Drama,Horror,Thriller"
35,"Drama,Fantasy,Mystery,Romance"
36,"Mystery,Thriller"
37,"Comedy,Romance"
38,"Biography,Comedy,Drama"
39,Comedy
40,"Crime,Drama,Thriller"
41,Documentary
42,"Documentary,History"
43,"Action,Thriller"
44,"Documentary,Biography"
45,"Drama,Musical,Romance"
46,"Drama,Horror,Thriller"
47,"Comedy,Crime,Drama,Thriller"
48,"Drama,Romance,War"
49,"Documentary,Drama"
50,"Action,Thriller"
51,"Comedy,Crime,Sport"
52,"Comedy,Drama"
53,Documentary
54,"Horror,Sci-Fi"
55,"Biography,Drama,Music,War"
56,"Comedy,Drama"
57,"Comedy,Drama"
58,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
59,"Crime,Drama,Sci-Fi"
60,"Action,Crime,Fantasy,Mystery,Sci-Fi,Thriller"
61,Comedy
62,"Documentary,Short,War"
63,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
64,"Drama,Fantasy,Mystery"
65,Documentary
66,"Comedy,Drama,Musical,Romance"
67,"Drama,Fantasy,War"
68,"Documentary,Biography,Crime,History,Sport"
69,"Comedy,Drama"
70,"Action,Adventure,Thriller"
71,"Crime,Drama,Mystery,Thriller,Western"
72,"Action,Biography,Drama,Sport"
73,"Adventure,Comedy,Fantasy,Horror,Sci-Fi"
74,"Comedy,Music"
75,"Comedy,Drama,Family,Romance"
76,"Drama,Horror,Music,Thriller"
77,Comedy
78,Drama
79,"Drama,Sport"
80,"Biography,Drama"
81,"Adventure,Comedy,Family,Fantasy"
82,"Adventure,Comedy,Fantasy"
83,Documentary
84,"Drama,Music"
85,"Drama,Thriller"
86,"Comedy,Drama,Romance"
87,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi"
88,"Documentary,Biography,Music"
89,"Crime,Drama,Thriller"
90,"Crime,Drama,Horror,Mystery,Thriller"
91,"Comedy,Drama"
92,"Drama,Horror,Sci-Fi,Thriller"
93,Drama
94,Documentary
95,"Horror,Mystery,Thriller"
96,"Drama,Thriller"
97,"Documentary,History"
98,"Crime,Drama,History,Thriller"
99,"Comedy,Music"
100,"Comedy,Drama"
101,"Biography,Crime,Drama,History"
102,"Comedy,Drama"
103,"Horror,Mystery,Thriller"
104,"Comedy,Drama,Romance"
105,Documentary
106,"Comedy,Drama,Fantasy,Romance,Sci-Fi"
107,"Animation,Adventure,Comedy,Family,Fantasy"
108,"Animation,Action,Adventure,Comedy,Family"
109,Comedy
110,"Crime,Drama,Mystery,Thriller"
111,"Drama,Mystery,Thriller"
112,"Crime,Drama,Mystery,Thriller"
113,"Biography,Drama,Romance"
114,"Documentary,Music"
115,Drama
116,"Comedy,Drama,Romance"
117,"Action,Comedy,Fantasy,Romance"
118,Documentary
119,Comedy
120,"Biography,Drama,War"
121,"Animation,Action,Adventure,Family,Fantasy"
122,"Action,Drama,History,Thriller,War"
123,"Drama,History"
124,"Comedy,Drama,Romance"
125,"Comedy,Drama,Romance"
126,"Action,Thriller"
127,"Documentary,Short"
128,"Comedy,Drama"
129,Comedy
130,"Action,Drama,History,Thriller,War"
131,Documentary
132,Comedy
133,"Animation,Adventure,Family,Fantasy,Romance"
134,"Comedy,Drama"
135,"Crime,Drama,Thriller"
136,Drama
137,"Action,Sci-Fi,Thriller"
138,"Comedy,Drama,Music"
139,"Action,Drama,Sci-Fi,Thriller"
