,Genres,Country,Language,1st_Country,2nd_Country,3rd_Country,4th_Country,5th_Country,6th_Country,7th_Country
428,"Crime,Drama,Mystery,Sci-Fi,Thriller",Germany,"German,English",Germany,,,,,,
522,Drama,Germany,"German,English",Germany,,,,,,
948,"Comedy,Drama,Music",Germany,German,Germany,,,,,,
1032,"Comedy,Romance",Germany,German,Germany,,,,,,
1371,Drama,Germany,German,Germany,,,,,,
1624,Documentary,Germany,German,Germany,,,,,,
1721,"Comedy,Romance",Germany,German,Germany,,,,,,
1723,"Crime,Thriller",Germany,German,Germany,,,,,,
1779,Comedy,Germany,"German,English,Polish,Swedish",Germany,,,,,,
1784,"Crime,Drama,History",Germany,"German,Vietnamese",Germany,,,,,,
1807,"Action,Drama,Fantasy,Sci-Fi",Germany,German,Germany,,,,,,
1824,"Crime,Thriller",Germany,"German,Russian",Germany,,,,,,
1868,"Comedy,Drama",Germany,"German,English",Germany,,,,,,
1993,"Comedy,Family,Fantasy,Romance",Germany,German,Germany,,,,,,
2116,"Comedy,Drama,War",Germany,"German,Hebrew,Yiddish",Germany,,,,,,
2153,Documentary,Germany,"English,German",Germany,,,,,,
2325,Drama,Germany,German,Germany,,,,,,
2427,Drama,Germany,German,Germany,,,,,,
2668,"Adventure,Comedy",Germany,German,Germany,,,,,,
2767,Comedy,Germany,German,Germany,,,,,,
2784,"Comedy,Crime,Thriller",Germany,"German,English",Germany,,,,,,
2798,"Drama,Music,Romance",Germany,"German,English,Russian",Germany,,,,,,
2822,"Adventure,Family",Germany,German,Germany,,,,,,
2853,"Adventure,Comedy,Family,Sport",Germany,German,Germany,,,,,,
2854,Comedy,Germany,German,Germany,,,,,,
2891,Documentary,Germany,"German,English",Germany,,,,,,
2987,Fantasy,Germany,"German,English",Germany,,,,,,
3071,"Animation,Comedy,Family,Fantasy",Germany,German,Germany,,,,,,
3085,"Adventure,Comedy,Drama,Family,Fantasy,Musical",Germany,German,Germany,,,,,,
3140,Comedy,Germany,German,Germany,,,,,,
3172,"Documentary,History",Germany,"English,German",Germany,,,,,,
3214,Comedy,Germany,German,Germany,,,,,,
3467,Comedy,Germany,German,Germany,,,,,,
3521,Comedy,Germany,German,Germany,,,,,,
3889,"Drama,Romance",Germany,"German,English",Germany,,,,,,
4611,"Comedy,Drama",Germany,German,Germany,,,,,,
5617,"Biography,Drama,History,War",Germany,"German,Hebrew",Germany,,,,,,
6349,"Drama,Romance",Germany,"German,English,Polish",Germany,,,,,,
6379,"Documentary,Biography,Sport",Germany,"German,English,French,Spanish",Germany,,,,,,
6389,"Crime,Drama,Horror,Thriller",Germany,English,Germany,,,,,,
6720,"Comedy,Drama",Germany,German,Germany,,,,,,
6964,Documentary,Germany,"English,German",Germany,,,,,,
7026,Drama,Germany,English,Germany,,,,,,
7323,"Drama,Sci-Fi",Germany,German,Germany,,,,,,
7524,"Crime,Drama,Mystery",Germany,German,Germany,,,,,,
7528,"Adventure,Comedy,Family,Fantasy",Germany,German,Germany,,,,,,
7737,"Drama,Horror,Mystery,Thriller",Germany,German,Germany,,,,,,
7776,"Comedy,Romance",Germany,German,Germany,,,,,,
8041,"Crime,Drama,Thriller,Action",Germany,"German,English",Germany,,,,,,
8087,Documentary,Germany,English,Germany,,,,,,
8187,"Biography,Drama",Germany,German,Germany,,,,,,
8266,"Crime,Drama,Mystery,Thriller",Germany,English,Germany,,,,,,
8366,Horror,Germany,German,Germany,,,,,,
8501,Documentary,Germany,,Germany,,,,,,
8541,"Crime,Fantasy,Horror,Thriller",Germany,English,Germany,,,,,,
9364,Drama,Germany,German,Germany,,,,,,
