,score_of_10,score_<2.0,score_2.0-3.0,score_3.1-4.0,score_4.1-5.0,score_5.1-6.0,score_6.1-7.0,score_7.1-8.0,score_8.1-9.0,score_9.1-10.0
0,7.8,0,0,0,0,0,0,1,0,0
1,8.4,0,0,0,0,0,0,0,1,0
2,9.0,0,0,0,0,0,0,0,1,0
3,8.1,0,0,0,0,0,0,0,1,0
4,7.7,0,0,0,0,0,0,1,0,0
5,7.1,0,0,0,0,0,0,1,0,0
6,7.6,0,0,0,0,0,0,1,0,0
7,7.3,0,0,0,0,0,0,1,0,0
8,7.3,0,0,0,0,0,0,1,0,0
9,7.8,0,0,0,0,0,0,1,0,0
10,8.2,0,0,0,0,0,0,0,1,0
11,7.7,0,0,0,0,0,0,1,0,0
12,7.3,0,0,0,0,0,0,1,0,0
13,7.4,0,0,0,0,0,0,1,0,0
14,8.2,0,0,0,0,0,0,0,1,0
15,7.2,0,0,0,0,0,0,1,0,0
16,7.4,0,0,0,0,0,0,1,0,0
17,8.2,0,0,0,0,0,0,0,1,0
18,8.5,0,0,0,0,0,0,0,1,0
19,8.2,0,0,0,0,0,0,0,1,0
20,7.2,0,0,0,0,0,0,1,0,0
21,8.0,0,0,0,0,0,0,1,0,0
22,6.7,0,0,0,0,0,1,0,0,0
23,7.6,0,0,0,0,0,0,1,0,0
24,8.5,0,0,0,0,0,0,0,1,0
25,8.4,0,0,0,0,0,0,0,1,0
26,8.5,0,0,0,0,0,0,0,1,0
27,7.6,0,0,0,0,0,0,1,0,0
28,8.4,0,0,0,0,0,0,0,1,0
29,6.9,0,0,0,0,0,1,0,0,0
30,7.6,0,0,0,0,0,0,1,0,0
31,7.1,0,0,0,0,0,0,1,0,0
32,7.3,0,0,0,0,0,0,1,0,0
33,7.1,0,0,0,0,0,0,1,0,0
34,6.5,0,0,0,0,0,1,0,0,0
35,7.6,0,0,0,0,0,0,1,0,0
36,8.2,0,0,0,0,0,0,0,1,0
37,6.8,0,0,0,0,0,1,0,0,0
38,8.5,0,0,0,0,0,0,0,1,0
39,8.2,0,0,0,0,0,0,0,1,0
40,8.0,0,0,0,0,0,0,1,0,0
41,8.3,0,0,0,0,0,0,0,1,0
42,7.7,0,0,0,0,0,0,1,0,0
43,6.7,0,0,0,0,0,1,0,0,0
44,8.5,0,0,0,0,0,0,0,1,0
45,7.4,0,0,0,0,0,0,1,0,0
46,6.5,0,0,0,0,0,1,0,0,0
47,8.4,0,0,0,0,0,0,0,1,0
48,7.4,0,0,0,0,0,0,1,0,0
49,7.9,0,0,0,0,0,0,1,0,0
50,7.0,0,0,0,0,0,1,0,0,0
51,8.1,0,0,0,0,0,0,0,1,0
52,7.9,0,0,0,0,0,0,1,0,0
53,7.4,0,0,0,0,0,0,1,0,0
54,6.6,0,0,0,0,0,1,0,0,0
55,8.5,0,0,0,0,0,0,0,1,0
56,8.4,0,0,0,0,0,0,0,1,0
57,7.5,0,0,0,0,0,0,1,0,0
58,6.8,0,0,0,0,0,1,0,0,0
59,8.3,0,0,0,0,0,0,0,1,0
60,6.9,0,0,0,0,0,1,0,0,0
61,7.8,0,0,0,0,0,0,1,0,0
62,7.5,0,0,0,0,0,0,1,0,0
63,7.5,0,0,0,0,0,0,1,0,0
64,7.5,0,0,0,0,0,0,1,0,0
65,8.1,0,0,0,0,0,0,0,1,0
66,7.9,0,0,0,0,0,0,1,0,0
67,8.2,0,0,0,0,0,0,0,1,0
