,0,1,tomato_score
0,98,100,98.0
1,97,100,97.0
2,95,100,95.0
3,94,100,94.0
4,94,100,94.0
5,94,100,94.0
6,93,100,93.0
7,92,100,92.0
8,92,100,92.0
9,92,100,92.0
10,92,100,92.0
11,92,100,92.0
12,92,100,92.0
13,91,100,91.0
14,91,100,91.0
15,91,100,91.0
16,90,100,90.0
17,90,100,90.0
18,90,100,90.0
19,90,100,90.0
20,90,100,90.0
21,89,100,89.0
22,89,100,89.0
23,89,100,89.0
24,89,100,89.0
25,89,100,89.0
26,89,100,89.0
27,89,100,89.0
28,89,100,89.0
29,89,100,89.0
30,89,100,89.0
31,89,100,89.0
32,89,100,89.0
33,88,100,88.0
34,88,100,88.0
35,88,100,88.0
36,88,100,88.0
37,88,100,88.0
38,88,100,88.0
39,87,100,87.0
40,87,100,87.0
41,87,100,87.0
42,87,100,87.0
43,87,100,87.0
44,87,100,87.0
45,87,100,87.0
46,87,100,87.0
47,87,100,87.0
48,87,100,87.0
49,87,100,87.0
50,87,100,87.0
51,87,100,87.0
52,87,100,87.0
53,86,100,86.0
54,86,100,86.0
55,86,100,86.0
56,86,100,86.0
57,86,100,86.0
58,86,100,86.0
59,86,100,86.0
60,86,100,86.0
61,86,100,86.0
62,86,100,86.0
63,86,100,86.0
64,85,100,85.0
65,85,100,85.0
66,85,100,85.0
67,85,100,85.0
68,85,100,85.0
69,85,100,85.0
70,85,100,85.0
71,85,100,85.0
72,84,100,84.0
73,84,100,84.0
74,84,100,84.0
75,84,100,84.0
76,84,100,84.0
77,84,100,84.0
78,84,100,84.0
79,84,100,84.0
80,84,100,84.0
81,84,100,84.0
82,84,100,84.0
83,84,100,84.0
84,84,100,84.0
85,84,100,84.0
86,84,100,84.0
87,84,100,84.0
88,84,100,84.0
89,84,100,84.0
90,84,100,84.0
91,84,100,84.0
92,84,100,84.0
93,83,100,83.0
94,83,100,83.0
95,83,100,83.0
96,83,100,83.0
97,83,100,83.0
98,83,100,83.0
99,83,100,83.0
100,83,100,83.0
101,83,100,83.0
102,83,100,83.0
103,83,100,83.0
104,83,100,83.0
105,83,100,83.0
106,83,100,83.0
107,83,100,83.0
108,83,100,83.0
109,83,100,83.0
110,83,100,83.0
111,82,100,82.0
112,82,100,82.0
113,82,100,82.0
114,82,100,82.0
115,82,100,82.0
116,82,100,82.0
117,82,100,82.0
118,82,100,82.0
119,82,100,82.0
120,82,100,82.0
121,82,100,82.0
122,82,100,82.0
123,82,100,82.0
124,82,100,82.0
125,82,100,82.0
126,82,100,82.0
127,82,100,82.0
128,82,100,82.0
129,81,100,81.0
130,81,100,81.0
131,81,100,81.0
132,81,100,81.0
133,81,100,81.0
134,81,100,81.0
135,81,100,81.0
136,81,100,81.0
137,81,100,81.0
138,81,100,81.0
139,81,100,81.0
140,81,100,81.0
141,81,100,81.0
142,81,100,81.0
143,81,100,81.0
144,81,100,81.0
145,81,100,81.0
146,81,100,81.0
147,80,100,80.0
148,80,100,80.0
149,80,100,80.0
150,80,100,80.0
151,80,100,80.0
152,80,100,80.0
153,80,100,80.0
154,80,100,80.0
155,80,100,80.0
156,80,100,80.0
157,80,100,80.0
158,80,100,80.0
159,80,100,80.0
160,80,100,80.0
161,80,100,80.0
162,80,100,80.0
163,80,100,80.0
164,80,100,80.0
165,80,100,80.0
166,80,100,80.0
167,80,100,80.0
168,79,100,79.0
169,79,100,79.0
170,79,100,79.0
171,79,100,79.0
172,79,100,79.0
173,79,100,79.0
174,79,100,79.0
175,79,100,79.0
176,79,100,79.0
177,79,100,79.0
178,79,100,79.0
179,79,100,79.0
180,79,100,79.0
181,79,100,79.0
182,79,100,79.0
183,79,100,79.0
184,79,100,79.0
185,79,100,79.0
186,79,100,79.0
187,79,100,79.0
188,79,100,79.0
189,79,100,79.0
190,79,100,79.0
191,79,100,79.0
192,79,100,79.0
193,78,100,78.0
194,78,100,78.0
195,78,100,78.0
196,78,100,78.0
197,78,100,78.0
198,78,100,78.0
199,78,100,78.0
200,78,100,78.0
201,78,100,78.0
202,78,100,78.0
203,78,100,78.0
204,78,100,78.0
205,78,100,78.0
206,78,100,78.0
207,78,100,78.0
208,78,100,78.0
209,78,100,78.0
210,78,100,78.0
211,78,100,78.0
212,78,100,78.0
213,78,100,78.0
214,78,100,78.0
215,78,100,78.0
216,78,100,78.0
217,77,100,77.0
218,77,100,77.0
219,77,100,77.0
220,77,100,77.0
221,77,100,77.0
222,77,100,77.0
223,77,100,77.0
224,77,100,77.0
225,77,100,77.0
226,77,100,77.0
227,77,100,77.0
228,77,100,77.0
229,77,100,77.0
230,77,100,77.0
231,77,100,77.0
232,77,100,77.0
233,77,100,77.0
234,77,100,77.0
235,77,100,77.0
236,77,100,77.0
237,77,100,77.0
238,77,100,77.0
239,77,100,77.0
240,77,100,77.0
241,77,100,77.0
242,77,100,77.0
243,76,100,76.0
244,76,100,76.0
245,76,100,76.0
246,76,100,76.0
247,76,100,76.0
248,76,100,76.0
249,76,100,76.0
250,76,100,76.0
251,76,100,76.0
252,76,100,76.0
253,76,100,76.0
254,76,100,76.0
255,76,100,76.0
256,76,100,76.0
257,76,100,76.0
258,76,100,76.0
259,76,100,76.0
260,76,100,76.0
261,76,100,76.0
262,76,100,76.0
263,76,100,76.0
264,76,100,76.0
265,76,100,76.0
266,76,100,76.0
267,76,100,76.0
268,76,100,76.0
269,76,100,76.0
270,76,100,76.0
271,76,100,76.0
272,76,100,76.0
273,76,100,76.0
274,76,100,76.0
275,76,100,76.0
276,76,100,76.0
277,76,100,76.0
278,76,100,76.0
279,75,100,75.0
280,75,100,75.0
281,75,100,75.0
282,75,100,75.0
283,75,100,75.0
284,75,100,75.0
285,75,100,75.0
286,75,100,75.0
287,75,100,75.0
288,75,100,75.0
289,75,100,75.0
290,75,100,75.0
291,75,100,75.0
292,75,100,75.0
293,75,100,75.0
294,75,100,75.0
295,75,100,75.0
296,75,100,75.0
297,75,100,75.0
298,75,100,75.0
299,75,100,75.0
300,75,100,75.0
301,75,100,75.0
302,75,100,75.0
303,75,100,75.0
304,75,100,75.0
305,75,100,75.0
306,75,100,75.0
307,75,100,75.0
308,75,100,75.0
309,75,100,75.0
310,75,100,75.0
311,75,100,75.0
312,75,100,75.0
313,75,100,75.0
314,75,100,75.0
315,75,100,75.0
316,75,100,75.0
317,75,100,75.0
318,74,100,74.0
319,74,100,74.0
320,74,100,74.0
321,74,100,74.0
322,74,100,74.0
323,74,100,74.0
324,74,100,74.0
325,74,100,74.0
326,74,100,74.0
327,74,100,74.0
328,74,100,74.0
329,74,100,74.0
330,74,100,74.0
331,74,100,74.0
332,74,100,74.0
333,74,100,74.0
334,74,100,74.0
335,74,100,74.0
336,74,100,74.0
337,74,100,74.0
338,74,100,74.0
339,74,100,74.0
340,74,100,74.0
341,74,100,74.0
342,74,100,74.0
343,74,100,74.0
344,74,100,74.0
345,74,100,74.0
346,74,100,74.0
347,74,100,74.0
348,74,100,74.0
349,74,100,74.0
350,74,100,74.0
351,74,100,74.0
352,74,100,74.0
353,74,100,74.0
