,Runtime,Runtime_0_30,Runtime_31_45,Runtime_46_60,Runtime_61_75,Runtime_76_90,Runtime_91_105,Runtime_106_120,Runtime_121_135,Runtime_136_150,Runtime_151_175,Runtime_176_190,Runtime_191+
0,209.0,0,0,0,0,0,0,0,0,0,0,0,1
1,161.0,0,0,0,0,0,0,0,0,0,1,0,0
2,83.0,0,0,0,0,1,0,0,0,0,0,0,0
3,224.0,0,0,0,0,0,0,0,0,0,0,0,1
4,52.0,0,0,1,0,0,0,0,0,0,0,0,0
5,99.0,0,0,0,0,0,1,0,0,0,0,0,0
6,94.0,0,0,0,0,0,1,0,0,0,0,0,0
7,120.0,0,0,0,0,0,0,1,0,0,0,0,0
8,133.0,0,0,0,0,0,0,0,1,0,0,0,0
9,129.0,0,0,0,0,0,0,0,1,0,0,0,0
10,130.0,0,0,0,0,0,0,0,1,0,0,0,0
11,94.0,0,0,0,0,0,1,0,0,0,0,0,0
12,118.0,0,0,0,0,0,0,1,0,0,0,0,0
13,134.0,0,0,0,0,0,0,0,1,0,0,0,0
14,210.0,0,0,0,0,0,0,0,0,0,0,0,1
15,97.0,0,0,0,0,0,1,0,0,0,0,0,0
16,85.0,0,0,0,0,1,0,0,0,0,0,0,0
17,100.0,0,0,0,0,0,1,0,0,0,0,0,0
18,143.0,0,0,0,0,0,0,0,0,1,0,0,0
19,132.0,0,0,0,0,0,0,0,1,0,0,0,0
20,140.0,0,0,0,0,0,0,0,0,1,0,0,0
21,65.0,0,0,0,1,0,0,0,0,0,0,0,0
22,113.0,0,0,0,0,0,0,1,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0
24,151.0,0,0,0,0,0,0,0,0,0,0,0,0
25,102.0,0,0,0,0,0,1,0,0,0,0,0,0
26,137.0,0,0,0,0,0,0,0,0,1,0,0,0
27,81.0,0,0,0,0,1,0,0,0,0,0,0,0
28,165.0,0,0,0,0,0,0,0,0,0,1,0,0
29,104.0,0,0,0,0,0,1,0,0,0,0,0,0
30,113.0,0,0,0,0,0,0,1,0,0,0,0,0
31,138.0,0,0,0,0,0,0,0,0,1,0,0,0
32,97.0,0,0,0,0,0,1,0,0,0,0,0,0
33,126.0,0,0,0,0,0,0,0,1,0,0,0,0
34,103.0,0,0,0,0,0,1,0,0,0,0,0,0
35,116.0,0,0,0,0,0,0,1,0,0,0,0,0
